Framework,Epoch,Training Time (ms),Accuracy
BURN-NDARRAY,1,1264.1628790000002,0.9603999853134155
BURN-NDARRAY,2,2690.649552,0.9714000225067139
BURN-NDARRAY,3,4099.164563,0.9707000255584717
BURN-NDARRAY,4,6007.228314,0.9735999703407288
BURN-NDARRAY,5,8672.239785,0.9740999937057495
BURN-SIMD,1,1474.885756,0.9603000283241272
BURN-SIMD,2,3052.789405,0.9645000100135803
BURN-SIMD,3,4706.580336,0.9707000255584717
BURN-SIMD,4,6682.998199,0.972100019454956
BURN-SIMD,5,8507.190494,0.9747999906539917
BURN-OPENBLAS,1,2688.929886,0.963699996471405
BURN-OPENBLAS,2,4602.590452,0.9733999967575073
BURN-OPENBLAS,3,7468.729321,0.9735999703407288
BURN-OPENBLAS,4,10108.702033,0.9745000004768372
BURN-OPENBLAS,5,13609.403016,0.9732000231742859
TCH,1,467.494943,0.9595000147819519
TCH,2,1009.323736,0.9686999917030334
TCH,3,1500.228471,0.9713000059127808
TCH,4,2207.322349,0.9757999777793884
TCH,5,2894.949833,0.972000002861023
CANDLE,1,1716.369265,0.9603000283241272
CANDLE,2,3303.294402,0.9645000100135803
CANDLE,3,4680.016447,0.9699000120162964
CANDLE,4,8164.527807,0.9692000150680542
CANDLE,5,9516.664064,0.972000002861023
